tic,conm,datadate,revenue,net_income,total_assets,total_liabilities,current_assets,current_liabilities,equity,operating_cash_flow,year,net_profit_margin,roe,debt_asset_ratio,current_ratio,asset_turnover,ocf_ratio
MSFT,MICROSOFT CORP,2015-06-30,93580.0,12193.0,176223.0,96140.0,124712.0,49858.0,80083.0,29080.0,2015,13.029493481513143,15.225453591898406,54.555875226275795,2.501343816438686,0.5310317041475857,31.075016029066038
MSFT,MICROSOFT CORP,2016-06-30,85320.0,16798.0,193694.0,121697.0,139660.0,59357.0,71997.0,33325.0,2016,19.688232536333803,23.331527702543163,62.82951459518622,2.3528817157201343,0.44048860573894905,39.058837318330994
MSFT,MICROSOFT CORP,2017-06-30,89950.0,21204.0,241086.0,168692.0,159851.0,64527.0,72394.0,39507.0,2017,23.573096164535855,29.28972014255325,69.97171133952199,2.4772730794861064,0.3731033738997702,43.92106725958866
MSFT,MICROSOFT CORP,2018-06-30,110360.0,16571.0,258848.0,176130.0,169662.0,58488.0,82718.0,43884.0,2018,15.01540413193186,20.033124591987235,68.04379404129064,2.900800164136233,0.4263505995796761,39.764407393983326
MSFT,MICROSOFT CORP,2019-06-30,125843.0,39240.0,286556.0,184226.0,175552.0,69420.0,102330.0,52185.0,2019,31.181710544090652,38.34652594547054,64.28970253632798,2.5288389513108616,0.43915674423149403,41.4683375316863
MSFT,MICROSOFT CORP,2020-06-30,143015.0,44281.0,301311.0,183007.0,181915.0,72310.0,118304.0,60675.0,2020,30.962486452470024,37.4298417635921,60.73691302342098,2.5157654542940118,0.4746424790332912,42.425619690242286
MSFT,MICROSOFT CORP,2021-06-30,168088.0,61271.0,333779.0,191791.0,184406.0,88657.0,141988.0,76740.0,2021,36.451739564989765,43.152238217314135,57.46047534446445,2.0799936835218875,0.5035906992351227,45.65465708438437
MSFT,MICROSOFT CORP,2022-06-30,198270.0,72738.0,364840.0,198298.0,169684.0,95082.0,166542.0,89035.0,2022,36.68633681343622,43.67546925099975,54.35204473193729,1.7846069708251824,0.5434437013485364,44.905936349422504
MSFT,MICROSOFT CORP,2023-06-30,211915.0,72361.0,411976.0,205753.0,184257.0,104149.0,206223.0,87582.0,2023,34.14623787839464,35.088714643856406,49.9429578422044,1.76916725076573,0.5143867603938094,41.32883467427978
